frequency_hz,wavelength_m,amplitude_pp_mm,wind_power_w,endpoint_strain_microstrain,endpoint_ok,damper_ok
5.0,26.71041531663592,10.41140443209567,2.3576671472723916e-07,2.4254362706953003,True,True
5.1,26.186733941157552,10.38320491592171,2.3547317062577424e-07,2.5165791031373206,True,True
5.199999999999999,25.68319517143156,10.355296116409336,2.3499965988341834e-07,2.6091932765890484,True,True
5.299999999999999,25.198658859929658,10.328550183543312,2.3480348450352543e-07,2.7034998035848297,True,True
5.399999999999999,24.73206931450694,10.302094967338874,2.3445406442717212e-07,2.7992808399609563,True,True
5.499999999999998,24.28244762061183,10.276221184457611,2.341116135618408e-07,2.8966121950043417,True,True
5.599999999999998,23.848884786165836,10.250928834899524,2.337878635063262e-07,2.9954970763532534,True,True
5.6999999999999975,23.430535608018758,10.226217918664608,2.3349397159274708e-07,3.0959393409949145,True,True
5.799999999999997,23.02661317287358,10.20208843575287,2.332405669212345e-07,3.197943495255999,True,True
5.899999999999997,22.636383917503924,10.178249669502714,2.3288754848611431e-07,3.3014203978234846,True,True
5.9999999999999964,22.259163182887075,10.154992336575738,2.3259418005921622e-07,3.406463704313743,True,True
6.099999999999996,21.89431120567451,10.132316436971934,2.3236969297616363e-07,3.513079706526351,True,True
6.199999999999996,21.541229497577763,10.109931254029716,2.3207178367205785e-07,3.6211712167431944,True,True
6.299999999999995,21.19935756956077,10.088127504410675,2.3185944028019997e-07,3.7308431829493114,True,True
6.399999999999995,20.868169963149114,10.066614471453219,2.3158902699169414e-07,3.8419927282539725,True,True
6.499999999999995,20.54717355578015,10.045392155157353,2.3126744655683277e-07,3.954618097531215,True,True
6.599999999999994,20.23590511110074,10.024751272184659,2.310535815034933e-07,4.06883585583511,True,True
6.699999999999994,19.9339290486652,10.004469431168172,2.3083788582889477e-07,4.184562683571517,True,True
6.799999999999994,19.640835410398164,9.984438481363354,2.3056973760152564e-07,4.301753942749198,True,True
6.899999999999993,19.356238003912587,9.964956324703872,2.3041173168992368e-07,4.420540003326479,True,True
6.999999999999993,19.079772704963634,9.945748564617059,2.3022537714515307e-07,4.540805657971879,True,True
7.0999999999999925,18.81109590334132,9.92654080453025,2.2987091580207166e-07,4.662421895121738,True,True
7.199999999999992,18.549883078291813,9.907881837588777,2.2964327859608577e-07,4.78564300006497,True,True
7.299999999999992,18.29582749102347,9.889771663792638,2.2954808105596435e-07,4.910480421340764,True,True
7.3999999999999915,18.048638983214563,9.871661489996498,2.2929924331437662e-07,5.036666217760611,True,True
7.499999999999991,17.808042871659957,9.853825712773032,2.2904658630665452e-07,5.164334021444929,True,True
7.599999999999991,17.57377893015821,9.836538728694899,2.2894069669346597e-07,5.293632902564684,True,True
7.69999999999999,17.34560045075342,9.8189773480441,2.285471462500184e-07,5.424121560171773,True,True
7.79999999999999,17.123273377183356,9.802239157111307,2.2845524588930212e-07,5.556400556856228,True,True
7.89999999999999,16.906575504132423,9.78550096617851,2.2822967483564388e-07,5.690017471696291,True,True
7.999999999999989,16.695295736548058,9.769037171818388,2.2802062497294745e-07,5.825126509705876,True,True
8.099999999999989,16.48923340382874,9.752847774030931,2.278317471879631e-07,5.961730601930705,True,True
8.199999999999989,16.288197624180473,9.736932772816145,2.2766657226826193e-07,6.099832985418339,True,True
8.299999999999988,16.09200671493189,9.721292168174026,2.2752851947371617e-07,6.23943720320431,True,True
8.399999999999988,15.900487644963944,9.705651563531907,2.2727295964869469e-07,6.380366719631744,True,True
8.499999999999988,15.71347552580272,9.690559752035126,2.2719873854036657e-07,6.52298213980974,True,True
8.599999999999987,15.530813138202646,9.675193543965676,2.2686457135408774e-07,6.66673365986751,True,True
8.699999999999987,15.352350491391709,9.660376129041564,2.2671782014825796e-07,6.81218000512938,True,True
8.799999999999986,15.177944412354552,9.64583311069012,2.266132824080375e-07,6.959141391352326,True,True
8.899999999999986,15.007458162824111,9.631290092338679,2.2640487259640694e-07,7.107420552842542,True,True
8.999999999999986,14.840761081784539,9.6170214705599,2.2624383941994787e-07,7.257216363355061,True,True
9.099999999999985,14.67772825156136,9.603027245353797,2.2613284223715577e-07,7.408534507087695,True,True
9.199999999999985,14.51824018568631,9.589033020147689,2.2592497894911657e-07,7.5611646063485916,True,True
9.299999999999985,14.362182536891364,9.575313191514251,2.2577186045030922e-07,7.715319869654252,True,True
9.399999999999984,14.209445823748746,9.561867759453484,2.2567592650834403e-07,7.871006745677564,True,True
9.499999999999984,14.05992517457559,9.548422327392714,2.2548950276605327e-07,8.028001285265196,True,True
9.599999999999984,13.913520087343102,9.535251291904617,2.2536457269412025e-07,8.186531491009182,True,True
9.699999999999983,13.770134204434342,9.522080256416515,2.251529791089695e-07,8.346364059849742,True,True
9.799999999999983,13.629675101196078,9.509183617501085,2.2500694238005603e-07,8.50773706121026,True,True
9.899999999999983,13.49205408730553,9.496561375158322,2.2492858909756e-07,8.670658166637708,True,True
9.999999999999982,13.357186020050568,9.48393913281556,2.2476906863792955e-07,8.834879735965067,True,True
10.099999999999982,13.224989128707891,9.471591287045465,2.246809822344589e-07,9.00065539807653,True,True
10.199999999999982,13.095384849250577,9.458969044702705,2.2436377337813351e-07,9.167461708334763,True,True
10.299999999999981,12.968297668680169,9.446988019030794,2.2432358598964198e-07,9.336180854623539,True,True
10.39999999999998,12.843654978343869,9.435074357050299,2.2424600094595396e-07,9.506264606161945,True,True
10.49999999999998,12.721386935633452,9.423160695069804,2.240951745267505e-07,9.677640944519565,True,True
10.59999999999998,12.601426333508735,9.411247033089309,2.2387241141867398e-07,9.850303138552766,True,True
10.69999999999998,12.483708477344079,9.399851356412313,2.2386603860645942e-07,10.024796880091214,True,True
10.79999999999998,12.368171068609335,9.388196687083571,2.236470962918379e-07,10.200302355911418,True,True
10.899999999999979,12.254754094960868,9.376801010406574,2.2350401983776053e-07,10.377370682363496,True,True
10.999999999999979,12.143399726317293,9.36566432638133,2.2343839133266018e-07,10.55601111376358,True,True
11.099999999999978,12.034052216568742,9.354527642356084,2.2330763786961057e-07,10.735935954060956,True,True
11.199999999999978,11.926657810535058,9.343390958330838,2.23112849135763e-07,10.917138903075665,True,True
11.299999999999978,11.821164655873424,9.332513266957344,2.2299949392187068e-07,11.099921701402911,True,True
11.399999999999977,11.71752271962371,9.32163557558385,2.2282448838357716e-07,11.28398095369258,True,True
11.499999999999977,11.615683709101164,9.311275869513855,2.2287820640111557e-07,11.469948575051873,True,True
