frequency_hz,wavelength_m,amplitude_pp_mm,wind_power_w,endpoint_strain_microstrain,endpoint_ok,damper_ok
5.0,26.71041531663592,10.41140443209567,2.3576671472723916e-07,2.4254362706953003,True,True
6.0,22.259163182887075,10.154992336575738,2.3259418005921665e-07,3.406463704313743,True,True
7.0,19.079772704963634,9.945748564617059,2.3022537714515376e-07,4.540805657971879,True,True
8.0,16.695295736548058,9.769037171818388,2.2802062497294835e-07,5.825126509705876,True,True
9.0,14.840761081784539,9.6170214705599,2.262438394199489e-07,7.257216363355061,True,True
10.0,13.357186020050568,9.48393913281556,2.2476906863793074e-07,8.834879735965067,True,True
11.0,12.143399726317293,9.36566432638133,2.2343839133266148e-07,10.55601111376358,True,True
12.0,11.131954981322947,9.259477339163876,2.2227837412010181e-07,12.418965569643728,True,True
13.0,10.276157553976484,9.163132072712923,2.2118474003106177e-07,14.421959458068606,True,True
14.0,9.542654419873374,9.07507457111796,2.201671086742021e-07,16.563558351334358,True,True
15.0,8.906986692407258,8.994268863771998,2.1933481949634792e-07,18.842828325577063,True,True
16.0,8.350810204715499,8.919160994764532,2.1835434337656165e-07,21.257324843161562,True,True
17.0,7.860097062700285,8.849678053256056,2.176370874586792e-07,23.807483168199816,True,True
18.0,7.423936680379683,8.784653430899649,2.1687988779385196e-07,26.49097525221339,True,True
19.0,7.03371543565267,8.724028970958344,2.1636072770727056e-07,29.308213304956773,True,True
20.0,6.682542429335695,8.666826859562107,2.157670754733232e-07,32.25659365712031,True,True
21.0,6.364839313046382,8.612558189775937,2.150298822622456e-07,35.33451331789079,True,True
22.0,6.0760419822091185,8.561711868534841,2.146313946690556e-07,38.54436620804415,True,True
23.0,5.812380088278567,8.513310081968797,2.14153306695088e-07,41.882468639875604,True,True
24.0,5.570711672906123,8.467108376610296,2.1359018412419343e-07,45.347733872246536,True,True
25.0,5.348397489907499,8.423351205926851,2.1321482098406523e-07,48.94173809290167,True,True
26.0,5.143204329853207,8.381259638001033,2.1266503489234537e-07,52.660329285610665,True,True
27.0,4.953229828083444,8.34134326568202,2.1234803495477128e-07,56.50681996989214,True,True
28.0,4.776843385291766,8.302811276218003,2.118673160025011e-07,60.47626950620005,True,True
29.0,4.6126393114363,8.266125130560647,2.1158269523751545e-07,64.57208590089304,True,True
30.0,4.459399340869007,8.230592637282452,2.111372092890619e-07,68.78919216303464,True,True
31.0,4.316062402601251,8.196444526859251,2.1073456999291459e-07,73.12938247350097,True,True
32.0,4.181700058645079,8.163680799291047,2.1043125421433174e-07,77.59291901633566,True,True
33.0,4.0554964081104785,8.132070724102002,2.1013489462089803e-07,82.17788077847186,True,True
34.0,3.93673153763882,8.101383570816287,2.0974712014607122e-07,86.88192376257834,True,True
35.0,3.824767808904808,8.071850069909736,2.0945402361006235e-07,91.70748176630678,True,True
36.0,3.7190384315351612,8.043239490906515,2.0914944170119738e-07,96.65214577002183,True,True
37.0,3.619037889067575,8.015782564282453,2.0901413791456873e-07,101.71886386464621,True,True
38.0,3.524313876600311,7.988787098610058,2.0864326479530433e-07,106.8989698679776,True,True
39.0,3.434460478803848,7.962945285316828,2.0850423293449338e-07,112.20146249010784,True,True
40.0,3.349112371230683,7.9375438610377,2.0817199820269142e-07,117.61657585552821,True,True
41.0,3.2679398702141818,7.91315274096741,2.0803422576230397e-07,123.1525098719305,True,True
42.0,3.1906446899247736,7.889197176612659,2.0774791368927498e-07,128.8005612399929,True,True
43.0,3.1169562914649322,7.8661127236889925,2.0761316731758038e-07,134.56762069531774,True,True
44.0,3.046628729815071,7.843463826480863,2.0737111313185526e-07,140.44641699152967,True,True
45.0,2.9794379211865425,7.821250484988277,2.070398337781877e-07,146.4365017731846,True,True
46.0,2.9151792668071392,7.7999082549267715,2.0691760504058794e-07,152.5459893409401,False,True
47.0,2.853665580053077,7.779001580580808,2.0674024024468866e-07,158.7667440108571,False,True
48.0,2.7947252726896568,7.758530461950386,2.0652267357669556e-07,165.09847343862984,False,True
49.0,2.738200763204939,7.738494899035503,2.0627901115035658e-07,171.54092945238474,False,True
50.0,2.683947076143463,7.719112669693932,2.0616441642814328e-07,178.09893268800488,False,True
